upc,title,authors,categories,tags,series,language,releaseDate,pages,description,publisher,imageURL,thumbnailURL
75960608666500111,Darth Vader (2017) #1,"Giuseppe Camuncoli, Vc Joe Caramagna, Jim Cheung, David Curiel, Cam Smith, Charles Soule, Jordan D. White, Matthew Wilson, ",Comic Books,Star Wars,Darth Vader (2017 - 2018),English,2017-06-07T00:00:00-0400,48,"The most fearsome villain of all time returns with an all-new series! When Anakin Skywalker fell, both to the pull of the dark side and to the blade of Obi-Wan Kenobi, he rose back up, more machine than man. Having lost everything that was once dear to him, the former chosen one must take his first steps into a darker world…as Darth Vader, Dark Lord of the Sith!",Marvel,http://i.annihil.us/u/prod/marvel/i/mg/7/20/593063e9ae78d.jpg,http://i.annihil.us/u/prod/marvel/i/mg/7/20/593063e9ae78d.jpg
75960608666500211,Darth Vader (2017) #2,"Giuseppe Camuncoli, Vc Joe Caramagna, Jim Cheung, David Curiel, Cam Smith, Charles Soule, Jordan D. White, Matthew Wilson, ",Comic Books,Star Wars,Darth Vader (2017 - 2018),English,2017-06-21T00:00:00-0400,32,Join Vader as he learns a new way — the way of Darth Sidious and his newly formed Empire…the way of the dark side.,Marvel,http://i.annihil.us/u/prod/marvel/i/mg/9/b0/5941a8d8af2c6.jpg,http://i.annihil.us/u/prod/marvel/i/mg/9/b0/5941a8d8af2c6.jpg
75960608666500311,Darth Vader (2017) #3,"Giuseppe Camuncoli, Vc Joe Caramagna, Olivier Coipel, David Curiel, Jason Keith, Cam Smith, Charles Soule, Jordan D. White, ",Comic Books,Star Wars,Darth Vader (2017 - 2018),English,2017-07-12T00:00:00-0400,32,Vader sets his sights on a Jedi who's avoided Order 66…a Jedi Master who's long lived in seclusion…a Jedi more powerful than any Vader has faced before…,Marvel,http://i.annihil.us/u/prod/marvel/i/mg/7/40/595ea5f96e623.jpg,http://i.annihil.us/u/prod/marvel/i/mg/7/40/595ea5f96e623.jpg
75960608666500411,Darth Vader (2017) #4,"Giuseppe Camuncoli, Vc Joe Caramagna, David Curiel, Francesco Mattina, Cam Smith, Charles Soule, Jordan D. White, ",Comic Books,Star Wars,Darth Vader (2017 - 2018),English,2017-08-02T00:00:00-0400,32,Vader's first mission isn't going well. The dark side is the way of power. But no one said it would be easy.,Marvel,http://i.annihil.us/u/prod/marvel/i/mg/c/b0/596d17bdc2ce7.jpg,http://i.annihil.us/u/prod/marvel/i/mg/c/b0/596d17bdc2ce7.jpg
75960608666500511,Darth Vader (2017) #5,"Giuseppe Camuncoli, Vc Joe Caramagna, David Curiel, Francesco Mattina, Cam Smith, Charles Soule, Jordan D. White, ",Comic Books,Star Wars,Darth Vader (2017 - 2018),English,2017-09-06T00:00:00-0400,32,He began his journey as a Jedi with wonder and hope. Now it is time to put away childish things. Vader's first and most vital test as a Sith concludes.,Marvel,http://i.annihil.us/u/prod/marvel/i/mg/d/90/599afde5c658f.jpg,http://i.annihil.us/u/prod/marvel/i/mg/d/90/599afde5c658f.jpg
75960608666500611,Darth Vader (2017) #6,"Giuseppe Camuncoli, Vc Joe Caramagna, David Curiel, Francesco Mattina, Cam Smith, Charles Soule, Jordan D. White, ",Comic Books,Star Wars,Darth Vader (2017 - 2018),English,2017-10-04T00:00:00-0400,32,Darth Vader…meet THE INQUISITORIUS!,Marvel,http://i.annihil.us/u/prod/marvel/i/mg/3/20/59cc06221f165.jpg,http://i.annihil.us/u/prod/marvel/i/mg/3/20/59cc06221f165.jpg
75960608666500711,Darth Vader (2017) #7,"Giuseppe Camuncoli, Vc Joe Caramagna, David Curiel, Francesco Mattina, Daniele Orlandini, Charles Soule, Jordan D. White, ",Comic Books,Star Wars,Darth Vader (2017 - 2018),English,2017-11-01T00:00:00-0400,32,"LEGACY’S END BEGINS! As Vader takes his place in command of the Emperor’s secret Inquisitorius Program, he sets his sights on one of the most dangerous Jedi remaining alive…and it’s not who you’d expect.",Marvel,http://i.annihil.us/u/prod/marvel/i/mg/6/80/59f104651dea8.jpg,http://i.annihil.us/u/prod/marvel/i/mg/6/80/59f104651dea8.jpg
75960608666500811,Darth Vader (2017) #8,"Giuseppe Camuncoli, Vc Joe Caramagna, David Curiel, Francesco Mattina, Daniele Orlandini, Charles Soule, Jordan D. White, ",Comic Books,Star Wars,Darth Vader (2017 - 2018),English,2017-11-15T00:00:00-0500,32,"LEGACY’S END BEGINS! As Vader takes his place in command of the Emperor’s secret Inquisitorius Program, he sets his sights on one of the most dangerous Jedi remaining alive…and it’s not who you’d expect.",Marvel,http://i.annihil.us/u/prod/marvel/i/mg/8/f0/5a034a0369bff.jpg,http://i.annihil.us/u/prod/marvel/i/mg/8/f0/5a034a0369bff.jpg
75960608666500911,Darth Vader (2017) #9,"Giuseppe Camuncoli, Vc Joe Caramagna, David Curiel, Francesco Mattina, Daniele Orlandini, Charles Soule, Jordan D. White, ",Comic Books,Star Wars,Darth Vader (2017 - 2018),English,2017-12-06T00:00:00-0500,32,"As the threat of the Jedi continues to menace the fledgling Empire, Vader finds himself on the trail of Jedi his master has commanded him…to keep alive?",Marvel,http://i.annihil.us/u/prod/marvel/i/mg/9/40/5a1f35e81fe32.jpg,http://i.annihil.us/u/prod/marvel/i/mg/9/40/5a1f35e81fe32.jpg
75960608666501011,Darth Vader (2017) #10,"Giuseppe Camuncoli, Vc Joe Caramagna, David Curiel, Francesco Mattina, Daniele Orlandini, Charles Soule, Jordan D. White, ",Comic Books,Star Wars,Darth Vader (2017 - 2018),English,2018-01-10T00:00:00-0500,32,Vader’s showdown with Jocasta Nu comes to a startling conclusion! What secret information has the Jedi librarian risked her life to protect? And can she stop Vader from getting it?,Marvel,http://i.annihil.us/u/prod/marvel/i/mg/e/e0/5a4fbdd91e01c.jpg,http://i.annihil.us/u/prod/marvel/i/mg/e/e0/5a4fbdd91e01c.jpg
